n,p_removed,T,binder,binder_err,n_realizations
32,0.2,3.832,0.08141462245629351,0.06388098863661484,12
32,0.2,3.858,0.02055777098616417,0.04805055584300603,12
32,0.2,3.884,0.028714445284311996,0.07070077124168657,12
32,0.2,3.91,0.05996069495397927,0.06801802822159919,12
32,0.2,3.936,-0.0862072536879633,0.07472594132161983,12
32,0.2,3.962,0.05483281820123923,0.05358439322802477,12
32,0.2,3.988,-0.20452919789256688,0.08281501564903632,12
32,0.2,4.014,-0.20584418185609418,0.036168199849821746,12
32,0.2,4.04,-0.4315145858421441,0.14724729282049165,12
32,0.2,4.066,-0.557859842387669,0.1087772099954321,12
32,0.2,4.092,0.028798977827841077,0.2501300124553818,12
32,0.2,4.118,0.286438857115857,0.2553713859053061,12
32,0.2,4.144,0.35250700895772474,0.2776753009977517,12
32,0.2,4.17,0.34336765539861197,0.28018099967966603,12
32,0.2,4.196,1.0,0.0,12
32,0.2,4.222,1.0,0.0,12
32,0.2,4.248,1.0,0.0,12
32,0.2,4.274,1.0,0.0,12
32,0.2,4.3,1.0,0.0,12
24,0.3,2.4,0.6333465614558732,0.033196189377890435,12
24,0.3,2.428,0.6665296532114197,2.23856967801776e-06,12
24,0.3,2.456,0.6665089932867113,2.6483141959227573e-06,12
24,0.3,2.484,0.6207356841431485,0.04575497819112004,12
24,0.3,2.512,0.6664705989997605,3.001439878905452e-06,12
24,0.3,2.54,0.666444188947176,2.888126179573135e-06,12
24,0.3,2.568,0.6664008346984006,3.3953248287871094e-06,12
24,0.3,2.596,0.6663728298111616,4.554952888515531e-06,12
24,0.3,2.624,0.6663290312923468,5.704944858231708e-06,12
24,0.3,2.652,0.6662801219982325,4.9121170339086286e-06,12
24,0.3,2.68,0.6662025541759503,1.1452445522373776e-05,12
24,0.3,2.708,0.6661102400946168,1.0087818063329864e-05,12
24,0.3,2.736,0.6660097229504464,1.542997511847548e-05,12
24,0.3,2.764,0.6658766624801803,2.6239461293645484e-05,12
24,0.3,2.792,0.6656913700333884,1.856798929737288e-05,12
24,0.3,2.82,0.6654713016959213,4.251800234490206e-05,12
24,0.3,2.848,0.665025560059158,4.730185242219212e-05,12
24,0.3,2.876,0.6644985532316439,9.177405183942044e-05,12
24,0.3,2.904,0.6637996233655166,8.15638202319185e-05,12
24,0.3,2.932,0.6619298021312398,0.00037895680930448433,12
24,0.3,2.96,0.6596986431620663,0.00027029154431717665,12
24,0.3,2.988,0.6535440132726525,0.0010234360685025192,12
24,0.3,3.016,0.6291596840364175,0.0056704759445599905,12
24,0.3,3.044,0.5410689564853813,0.01783651696033304,12
24,0.3,3.072,0.3561685131582642,0.05050728727391472,12
24,0.3,3.1,0.2535573893638553,0.03754027319549155,12
24,0.3,3.128,0.15786354065999583,0.035412200547736236,12
24,0.3,3.156,0.0460676501891552,0.04701101416194984,12
24,0.3,3.184,0.07038475900206467,0.04859387523562108,12
24,0.3,3.212,0.06136425726588534,0.03068860388762245,12
24,0.3,3.24,0.07353479766524386,0.02750993037074535,12
24,0.3,3.268,0.040351043789486535,0.03505591878789825,12
24,0.3,3.296,0.018998001760593602,0.04462028099809635,12
24,0.3,3.324,0.08500627666368193,0.023302298219241502,12
24,0.3,3.352,0.03593395352470419,0.026477738412342137,12
24,0.3,3.38,0.09025813344514004,0.022169976368588966,12
24,0.3,3.408,0.036485242482014235,0.022628016895518195,12
24,0.3,3.436,0.0351986086465918,0.027424849522241012,12
24,0.3,3.464,0.02328771792513082,0.03479335974759914,12
24,0.3,3.492,0.06057469032062901,0.01487607034903395,12
24,0.3,3.52,0.012459486923811667,0.030588837765827374,12
24,0.3,3.548,-0.0004950246321576793,0.029474310779780685,12
24,0.3,3.576,0.003686374094515175,0.029798236708019628,12
24,0.3,3.604,0.04892244292660148,0.0525870924258522,12
24,0.3,3.632,0.013140302526107548,0.04652941317715528,12
24,0.3,3.66,0.06760247604829901,0.03560729992712142,12
24,0.3,3.688,-0.03983145593427403,0.056987027167421475,12
24,0.3,3.716,0.037573078787215324,0.06401085837630338,12
24,0.3,3.744,0.13759970762280677,0.07087861179638105,12
24,0.3,3.772,0.02980793798423619,0.07774549719258562,12
24,0.3,3.8,0.19212315322337528,0.03373443858978585,12
28,0.3,2.4,0.6665875003319421,9.045955705285462e-07,12
28,0.3,2.428,0.6665787226328582,9.388160677821687e-07,12
28,0.3,2.456,0.6665660044662046,1.8573509980965934e-06,12
